product,ppid,knob_name,knob_value,feature_name,function_step,rule_order,operator,category,use
PRODA0,PP_PRODA0_01,GATE_PROFILE,STD,,,,,,
PRODA0,PP_PRODA0_01,SD_EPI_BORON,NOM,,,,,,
PRODA0,PP_PRODA0_01,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA0,PP_PRODA0_01,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA0,PP_PRODA0_01,SPACER_LOWK_K,k3.9,,,,,,
PRODA0,PP_PRODA0_01,M1_CU_RECIPE,R1,,,,,,
PRODA0,PP_PRODA0_02,GATE_PROFILE,TILT_2DEG,,,,,,
PRODA0,PP_PRODA0_02,SD_EPI_BORON,NOM,,,,,,
PRODA0,PP_PRODA0_02,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA0,PP_PRODA0_02,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA0,PP_PRODA0_02,SPACER_LOWK_K,k3.9,,,,,,
PRODA0,PP_PRODA0_02,M1_CU_RECIPE,R1,,,,,,
PRODA0,PP_PRODA0_03,GATE_PROFILE,STD,,,,,,
PRODA0,PP_PRODA0_03,SD_EPI_BORON,HIGH_1E20,,,,,,
PRODA0,PP_PRODA0_03,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA0,PP_PRODA0_03,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA0,PP_PRODA0_03,SPACER_LOWK_K,k3.9,,,,,,
PRODA0,PP_PRODA0_03,M1_CU_RECIPE,R1,,,,,,
PRODA0,PP_PRODA0_04,GATE_PROFILE,STD,,,,,,
PRODA0,PP_PRODA0_04,SD_EPI_BORON,NOM,,,,,,
PRODA0,PP_PRODA0_04,CHANNEL_RELEASE_TIME,72s,,,,,,
PRODA0,PP_PRODA0_04,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA0,PP_PRODA0_04,SPACER_LOWK_K,k3.9,,,,,,
PRODA0,PP_PRODA0_04,M1_CU_RECIPE,R1,,,,,,
PRODA0,PP_PRODA0_05,GATE_PROFILE,STD,,,,,,
PRODA0,PP_PRODA0_05,SD_EPI_BORON,LOW_8E19,,,,,,
PRODA0,PP_PRODA0_05,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA0,PP_PRODA0_05,HKMG_WF_METAL,TiAlC_2nm,,,,,,
PRODA0,PP_PRODA0_05,SPACER_LOWK_K,k3.9,,,,,,
PRODA0,PP_PRODA0_05,M1_CU_RECIPE,R1,,,,,,
PRODA0,PP_PRODA0_06,GATE_PROFILE,STD,,,,,,
PRODA0,PP_PRODA0_06,SD_EPI_BORON,NOM,,,,,,
PRODA0,PP_PRODA0_06,CHANNEL_RELEASE_TIME,54s,,,,,,
PRODA0,PP_PRODA0_06,HKMG_WF_METAL,TiN_3.5nm,,,,,,
PRODA0,PP_PRODA0_06,SPACER_LOWK_K,k3.5,,,,,,
PRODA0,PP_PRODA0_06,M1_CU_RECIPE,R2,,,,,,
PRODA1,PP_PRODA1_01,GATE_PROFILE,STD,,,,,,
PRODA1,PP_PRODA1_01,SD_EPI_BORON,NOM,,,,,,
PRODA1,PP_PRODA1_01,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA1,PP_PRODA1_01,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA1,PP_PRODA1_01,SPACER_LOWK_K,k3.9,,,,,,
PRODA1,PP_PRODA1_01,M1_CU_RECIPE,R1,,,,,,
PRODA1,PP_PRODA1_02,GATE_PROFILE,TILT_2DEG,,,,,,
PRODA1,PP_PRODA1_02,SD_EPI_BORON,NOM,,,,,,
PRODA1,PP_PRODA1_02,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA1,PP_PRODA1_02,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA1,PP_PRODA1_02,SPACER_LOWK_K,k3.9,,,,,,
PRODA1,PP_PRODA1_02,M1_CU_RECIPE,R1,,,,,,
PRODA1,PP_PRODA1_03,GATE_PROFILE,STD,,,,,,
PRODA1,PP_PRODA1_03,SD_EPI_BORON,HIGH_1E20,,,,,,
PRODA1,PP_PRODA1_03,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA1,PP_PRODA1_03,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA1,PP_PRODA1_03,SPACER_LOWK_K,k3.9,,,,,,
PRODA1,PP_PRODA1_03,M1_CU_RECIPE,R1,,,,,,
PRODA1,PP_PRODA1_04,GATE_PROFILE,STD,,,,,,
PRODA1,PP_PRODA1_04,SD_EPI_BORON,NOM,,,,,,
PRODA1,PP_PRODA1_04,CHANNEL_RELEASE_TIME,72s,,,,,,
PRODA1,PP_PRODA1_04,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODA1,PP_PRODA1_04,SPACER_LOWK_K,k3.9,,,,,,
PRODA1,PP_PRODA1_04,M1_CU_RECIPE,R1,,,,,,
PRODA1,PP_PRODA1_05,GATE_PROFILE,STD,,,,,,
PRODA1,PP_PRODA1_05,SD_EPI_BORON,LOW_8E19,,,,,,
PRODA1,PP_PRODA1_05,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODA1,PP_PRODA1_05,HKMG_WF_METAL,TiAlC_2nm,,,,,,
PRODA1,PP_PRODA1_05,SPACER_LOWK_K,k3.9,,,,,,
PRODA1,PP_PRODA1_05,M1_CU_RECIPE,R1,,,,,,
PRODA1,PP_PRODA1_06,GATE_PROFILE,STD,,,,,,
PRODA1,PP_PRODA1_06,SD_EPI_BORON,NOM,,,,,,
PRODA1,PP_PRODA1_06,CHANNEL_RELEASE_TIME,54s,,,,,,
PRODA1,PP_PRODA1_06,HKMG_WF_METAL,TiN_3.5nm,,,,,,
PRODA1,PP_PRODA1_06,SPACER_LOWK_K,k3.5,,,,,,
PRODA1,PP_PRODA1_06,M1_CU_RECIPE,R2,,,,,,
PRODB,PP_PRODB_01,GATE_PROFILE,STD,,,,,,
PRODB,PP_PRODB_01,SD_EPI_BORON,NOM,,,,,,
PRODB,PP_PRODB_01,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODB,PP_PRODB_01,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODB,PP_PRODB_01,SPACER_LOWK_K,k3.9,,,,,,
PRODB,PP_PRODB_01,M1_CU_RECIPE,R1,,,,,,
PRODB,PP_PRODB_02,GATE_PROFILE,TILT_2DEG,,,,,,
PRODB,PP_PRODB_02,SD_EPI_BORON,NOM,,,,,,
PRODB,PP_PRODB_02,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODB,PP_PRODB_02,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODB,PP_PRODB_02,SPACER_LOWK_K,k3.9,,,,,,
PRODB,PP_PRODB_02,M1_CU_RECIPE,R1,,,,,,
PRODB,PP_PRODB_03,GATE_PROFILE,STD,,,,,,
PRODB,PP_PRODB_03,SD_EPI_BORON,HIGH_1E20,,,,,,
PRODB,PP_PRODB_03,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODB,PP_PRODB_03,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODB,PP_PRODB_03,SPACER_LOWK_K,k3.9,,,,,,
PRODB,PP_PRODB_03,M1_CU_RECIPE,R1,,,,,,
PRODB,PP_PRODB_04,GATE_PROFILE,STD,,,,,,
PRODB,PP_PRODB_04,SD_EPI_BORON,NOM,,,,,,
PRODB,PP_PRODB_04,CHANNEL_RELEASE_TIME,72s,,,,,,
PRODB,PP_PRODB_04,HKMG_WF_METAL,TiN_3nm,,,,,,
PRODB,PP_PRODB_04,SPACER_LOWK_K,k3.9,,,,,,
PRODB,PP_PRODB_04,M1_CU_RECIPE,R1,,,,,,
PRODB,PP_PRODB_05,GATE_PROFILE,STD,,,,,,
PRODB,PP_PRODB_05,SD_EPI_BORON,LOW_8E19,,,,,,
PRODB,PP_PRODB_05,CHANNEL_RELEASE_TIME,60s,,,,,,
PRODB,PP_PRODB_05,HKMG_WF_METAL,TiAlC_2nm,,,,,,
PRODB,PP_PRODB_05,SPACER_LOWK_K,k3.9,,,,,,
PRODB,PP_PRODB_05,M1_CU_RECIPE,R1,,,,,,
PRODB,PP_PRODB_06,GATE_PROFILE,STD,,,,,,
PRODB,PP_PRODB_06,SD_EPI_BORON,NOM,,,,,,
PRODB,PP_PRODB_06,CHANNEL_RELEASE_TIME,54s,,,,,,
PRODB,PP_PRODB_06,HKMG_WF_METAL,TiN_3.5nm,,,,,,
PRODB,PP_PRODB_06,SPACER_LOWK_K,k3.5,,,,,,
PRODB,PP_PRODB_06,M1_CU_RECIPE,R2,,,,,,
PRODA,AASTG010_PP,STAGE_01,1.0 STI,1.0 STI,1.0 STI,1,,STI,Y
PRODA,AASTG020_PP,STAGE_02,2.0 WELL,2.0 WELL,2.0 WELL,2,,Well/VT,Y
PRODA,AASTG030_PP,STAGE_03,3.0 VTN,3.0 VTN,3.0 VTN,3,,Well/VT,Y
PRODA,AASTG040_PP,STAGE_04,4.0 GATE_OX,4.0 GATE_OX,4.0 GATE_OX,4,,Gate,Y
PRODA,AASTG050_PP,STAGE_05,5.0 PC,5.0 PC,5.0 PC,5,,PC,Y
PRODA,AASTG060_PP,STAGE_06,6.0 LDD,6.0 LDD,6.0 LDD,6,,LDD,Y
PRODA,AASTG070_PP,STAGE_07,7.0 SPACER,7.0 SPACER,7.0 SPACER,7,,Spacer,Y
PRODA,AASTG080_PP,STAGE_08,8.0 SD_EPI,8.0 SD_EPI,8.0 SD_EPI,8,,S/D Epi,Y
PRODA,AASTG090_PP,STAGE_09,9.0 SILICIDE,9.0 SILICIDE,9.0 SILICIDE,9,,Silicide,Y
PRODA,AASTG100_PP,STAGE_10,10.0 CONTACT,10.0 CONTACT,10.0 CONTACT,10,,MOL,Y
PRODA,AASTG110_PP,STAGE_11,11.0 M0,11.0 M0,11.0 M0,11,,BEOL-M0,Y
PRODA,AASTG120_PP,STAGE_12,12.0 VIA0,12.0 VIA0,12.0 VIA0,12,,BEOL-V0,Y
PRODA,AASTG130_PP,STAGE_13,13.0 M1,13.0 M1,13.0 M1,13,,BEOL-M1,Y
PRODA,AASTG140_PP,STAGE_14,14.0 VIA1,14.0 VIA1,14.0 VIA1,14,,BEOL-V1,Y
PRODA,AASTG150_PP,STAGE_15,15.0 M2,15.0 M2,15.0 M2,15,,BEOL-M2,Y
PRODA,AASTG160_PP,STAGE_16,16.0 VIA2,16.0 VIA2,16.0 VIA2,16,,BEOL-V2,Y
PRODA,AASTG170_PP,STAGE_17,17.0 M3,17.0 M3,17.0 M3,17,,BEOL-M3,Y
PRODA,AASTG180_PP,STAGE_18,18.0 VIA3,18.0 VIA3,18.0 VIA3,18,,BEOL-V3,Y
PRODA,AASTG190_PP,STAGE_19,19.0 M4,19.0 M4,19.0 M4,19,,BEOL-M4,Y
PRODA,AASTG200_PP,STAGE_20,20.0 PAD,20.0 PAD,20.0 PAD,20,,PAD,Y
PRODA,AASTG210_PP,STAGE_21,21.0 PASSIVATION,21.0 PASSIVATION,21.0 PASSIVATION,21,,PASSIVATION,Y
PRODA,AASTG220_PP,STAGE_22,22.0 ETEST_PREP,22.0 ETEST_PREP,22.0 ETEST_PREP,22,,ETEST,Y
PRODA,AASTG230_PP,STAGE_23,23.0 RELIABILITY,23.0 RELIABILITY,23.0 RELIABILITY,23,,RELIABILITY,Y
PRODA,AASTG240_PP,STAGE_24,24.0 SORT,24.0 SORT,24.0 SORT,24,,SORT,Y
PRODB,ABSTG010_PP,STAGE_01,1.0 STI,1.0 STI,1.0 STI,1,,STI,Y
PRODB,ABSTG020_PP,STAGE_02,2.0 WELL,2.0 WELL,2.0 WELL,2,,Well/VT,Y
PRODB,ABSTG030_PP,STAGE_03,3.0 VTN,3.0 VTN,3.0 VTN,3,,Well/VT,Y
PRODB,ABSTG040_PP,STAGE_04,4.0 GATE_OX,4.0 GATE_OX,4.0 GATE_OX,4,,Gate,Y
PRODB,ABSTG050_PP,STAGE_05,5.0 PC,5.0 PC,5.0 PC,5,,PC,Y
PRODB,ABSTG060_PP,STAGE_06,6.0 LDD,6.0 LDD,6.0 LDD,6,,LDD,Y
PRODB,ABSTG070_PP,STAGE_07,7.0 SPACER,7.0 SPACER,7.0 SPACER,7,,Spacer,Y
PRODB,ABSTG080_PP,STAGE_08,8.0 SD_EPI,8.0 SD_EPI,8.0 SD_EPI,8,,S/D Epi,Y
PRODB,ABSTG090_PP,STAGE_09,9.0 SILICIDE,9.0 SILICIDE,9.0 SILICIDE,9,,Silicide,Y
PRODB,ABSTG100_PP,STAGE_10,10.0 CONTACT,10.0 CONTACT,10.0 CONTACT,10,,MOL,Y
PRODB,ABSTG110_PP,STAGE_11,11.0 M0,11.0 M0,11.0 M0,11,,BEOL-M0,Y
PRODB,ABSTG120_PP,STAGE_12,12.0 VIA0,12.0 VIA0,12.0 VIA0,12,,BEOL-V0,Y
PRODB,ABSTG130_PP,STAGE_13,13.0 M1,13.0 M1,13.0 M1,13,,BEOL-M1,Y
PRODB,ABSTG140_PP,STAGE_14,14.0 VIA1,14.0 VIA1,14.0 VIA1,14,,BEOL-V1,Y
PRODB,ABSTG150_PP,STAGE_15,15.0 M2,15.0 M2,15.0 M2,15,,BEOL-M2,Y
PRODB,ABSTG160_PP,STAGE_16,16.0 VIA2,16.0 VIA2,16.0 VIA2,16,,BEOL-V2,Y
PRODB,ABSTG170_PP,STAGE_17,17.0 M3,17.0 M3,17.0 M3,17,,BEOL-M3,Y
PRODB,ABSTG180_PP,STAGE_18,18.0 VIA3,18.0 VIA3,18.0 VIA3,18,,BEOL-V3,Y
PRODB,ABSTG190_PP,STAGE_19,19.0 M4,19.0 M4,19.0 M4,19,,BEOL-M4,Y
PRODB,ABSTG200_PP,STAGE_20,20.0 PAD,20.0 PAD,20.0 PAD,20,,PAD,Y
PRODB,ABSTG210_PP,STAGE_21,21.0 PASSIVATION,21.0 PASSIVATION,21.0 PASSIVATION,21,,PASSIVATION,Y
PRODB,ABSTG220_PP,STAGE_22,22.0 ETEST_PREP,22.0 ETEST_PREP,22.0 ETEST_PREP,22,,ETEST,Y
PRODB,ABSTG230_PP,STAGE_23,23.0 RELIABILITY,23.0 RELIABILITY,23.0 RELIABILITY,23,,RELIABILITY,Y
PRODB,ABSTG240_PP,STAGE_24,24.0 SORT,24.0 SORT,24.0 SORT,24,,SORT,Y
